Starting at Tue Feb  4 04:43:44 AM CET 2025
Running on hosts: cg11
Running on 1 nodes.
Running on 48 processors.
SLURM JobID 1082550 processors.
Node has 48 processors.
Node has  total memory.
Node has 10600 memory per cpu.
Current working directory is /lunarc/nobackup/projects/lu2024-17-38/fu6315ma/training/mnist
Current path is /lunarc/nobackup/projects/lu2024-17-38/fu6315ma/.venv/bin:/sw/pkg/gfxlauncher:/home/fu6315ma/.vscode-server/cli/servers/Stable-cd4ee3b1c348a13bafd8f9ad8060705f6d4b9cba/server/bin/remote-cli:/sw/pkg/gfxlauncher:/home/fu6315ma/.local/bin:/home/fu6315ma/bin:/sw/pkg/gfxlauncher:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:~/bin:.:/sw/pkg/lunarc/bin:/sw/pkg/slurm/local/bin:/opt/thinlinc/bin:/opt/thinlinc/sbin:~/bin:.:/sw/pkg/lunarc/bin:/sw/pkg/slurm/local/bin:~/bin:.:/sw/pkg/lunarc/bin:/sw/pkg/slurm/local/bin
2025-02-04 04:43:44: Training started (directory: /lunarc/nobackup/projects/lu2024-17-38/fu6315ma/training/mnist)\n
cuda
Train:  torch.Size([60000, 784]) torch.Size([60000, 10])
Test:  torch.Size([10000, 784]) torch.Size([10000, 10])
[I 2025-02-04 04:44:12,559] A new study created in memory with name: no-name-fcbd9d3f-c010-493f-9475-7ebdf0d3725d
checkpoint directory created: ./model
saving model version 0.0
Trial 0: {'depth': 1, 'width_0': 20, 'optimizer': 'LBFGS', 'lr': 0.0032015764455115437, 'lambda': 6.290853138301407e-06, 'loss_fn': 'L2'}

description:   0%|                                                          | 0/100 [00:00<?, ?it/s]
| train_loss: 2.72e-01 | test_loss: 2.72e-01 | reg: 2.25e+02 | :   0%|      | 0/100 [00:53<?, ?it/s]
| train_loss: 2.72e-01 | test_loss: 2.72e-01 | reg: 2.25e+02 | :   1%| | 1/100 [00:53<1:28:31, 53.65
| train_loss: 2.25e-01 | test_loss: 2.23e-01 | reg: 2.65e+02 | :   1%| | 1/100 [01:39<1:28:31, 53.65
| train_loss: 2.25e-01 | test_loss: 2.23e-01 | reg: 2.65e+02 | :   2%| | 2/100 [01:39<1:19:50, 48.88
| train_loss: 2.02e-01 | test_loss: 2.00e-01 | reg: 2.84e+02 | :   2%| | 2/100 [02:24<1:19:50, 48.88
| train_loss: 2.02e-01 | test_loss: 2.00e-01 | reg: 2.84e+02 | :   3%| | 3/100 [02:24<1:16:01, 47.02
| train_loss: 1.84e-01 | test_loss: 1.82e-01 | reg: 3.06e+02 | :   3%| | 3/100 [03:10<1:16:01, 47.02
| train_loss: 1.84e-01 | test_loss: 1.82e-01 | reg: 3.06e+02 | :   4%| | 4/100 [03:10<1:15:07, 46.95
| train_loss: 1.72e-01 | test_loss: 1.70e-01 | reg: 3.13e+02 | :   4%| | 4/100 [03:59<1:15:07, 46.95
| train_loss: 1.72e-01 | test_loss: 1.70e-01 | reg: 3.13e+02 | :   5%| | 5/100 [03:59<1:15:21, 47.59
| train_loss: 1.67e-01 | test_loss: 1.66e-01 | reg: 3.23e+02 | :   5%| | 5/100 [04:45<1:15:21, 47.59
| train_loss: 1.67e-01 | test_loss: 1.66e-01 | reg: 3.23e+02 | :   6%| | 6/100 [04:45<1:13:39, 47.02
| train_loss: 1.61e-01 | test_loss: 1.60e-01 | reg: 3.29e+02 | :   6%| | 6/100 [05:30<1:13:39, 47.02
| train_loss: 1.61e-01 | test_loss: 1.60e-01 | reg: 3.29e+02 | :   7%| | 7/100 [05:30<1:11:56, 46.41
| train_loss: 1.54e-01 | test_loss: 1.53e-01 | reg: 3.28e+02 | :   7%| | 7/100 [06:16<1:11:56, 46.41
| train_loss: 1.54e-01 | test_loss: 1.53e-01 | reg: 3.28e+02 | :   8%| | 8/100 [06:16<1:10:39, 46.08
| train_loss: 1.49e-01 | test_loss: 1.48e-01 | reg: 3.26e+02 | :   8%| | 8/100 [07:01<1:10:39, 46.08
| train_loss: 1.49e-01 | test_loss: 1.48e-01 | reg: 3.26e+02 | :   9%| | 9/100 [07:01<1:09:27, 45.80
| train_loss: 1.45e-01 | test_loss: 1.44e-01 | reg: 3.23e+02 | :   9%| | 9/100 [07:47<1:09:27, 45.80
| train_loss: 1.45e-01 | test_loss: 1.44e-01 | reg: 3.23e+02 | :  10%| | 10/100 [07:47<1:08:58, 45.9
| train_loss: 1.42e-01 | test_loss: 1.42e-01 | reg: 3.22e+02 | :  10%| | 10/100 [08:34<1:08:58, 45.9
| train_loss: 1.42e-01 | test_loss: 1.42e-01 | reg: 3.22e+02 | :  11%| | 11/100 [08:34<1:08:40, 46.3
| train_loss: 1.39e-01 | test_loss: 1.39e-01 | reg: 3.24e+02 | :  11%| | 11/100 [09:19<1:08:40, 46.3
| train_loss: 1.39e-01 | test_loss: 1.39e-01 | reg: 3.24e+02 | :  12%| | 12/100 [09:19<1:07:09, 45.7
| train_loss: 1.36e-01 | test_loss: 1.36e-01 | reg: 3.24e+02 | :  12%| | 12/100 [10:04<1:07:09, 45.7
| train_loss: 1.36e-01 | test_loss: 1.36e-01 | reg: 3.24e+02 | :  13%|▏| 13/100 [10:04<1:06:06, 45.5
| train_loss: 1.34e-01 | test_loss: 1.34e-01 | reg: 3.22e+02 | :  13%|▏| 13/100 [10:49<1:06:06, 45.5
| train_loss: 1.34e-01 | test_loss: 1.34e-01 | reg: 3.22e+02 | :  14%|▏| 14/100 [10:49<1:05:19, 45.5
| train_loss: 1.33e-01 | test_loss: 1.33e-01 | reg: 3.20e+02 | :  14%|▏| 14/100 [11:34<1:05:19, 45.5
| train_loss: 1.33e-01 | test_loss: 1.33e-01 | reg: 3.20e+02 | :  15%|▏| 15/100 [11:34<1:04:14, 45.3
| train_loss: 1.31e-01 | test_loss: 1.31e-01 | reg: 3.18e+02 | :  15%|▏| 15/100 [12:21<1:04:14, 45.3
| train_loss: 1.31e-01 | test_loss: 1.31e-01 | reg: 3.18e+02 | :  16%|▏| 16/100 [12:21<1:04:06, 45.7
| train_loss: 1.29e-01 | test_loss: 1.29e-01 | reg: 3.16e+02 | :  16%|▏| 16/100 [13:09<1:04:06, 45.7
| train_loss: 1.29e-01 | test_loss: 1.29e-01 | reg: 3.16e+02 | :  17%|▏| 17/100 [13:09<1:04:21, 46.5
| train_loss: 1.27e-01 | test_loss: 1.27e-01 | reg: 3.16e+02 | :  17%|▏| 17/100 [13:59<1:04:21, 46.5
| train_loss: 1.27e-01 | test_loss: 1.27e-01 | reg: 3.16e+02 | :  18%|▏| 18/100 [13:59<1:04:46, 47.4
| train_loss: 1.26e-01 | test_loss: 1.26e-01 | reg: 3.18e+02 | :  18%|▏| 18/100 [14:44<1:04:46, 47.4
| train_loss: 1.26e-01 | test_loss: 1.26e-01 | reg: 3.18e+02 | :  19%|▏| 19/100 [14:44<1:03:06, 46.7
| train_loss: 1.25e-01 | test_loss: 1.25e-01 | reg: 3.20e+02 | :  19%|▏| 19/100 [15:30<1:03:06, 46.7
| train_loss: 1.25e-01 | test_loss: 1.25e-01 | reg: 3.20e+02 | :  20%|▏| 20/100 [15:30<1:01:54, 46.4
| train_loss: 1.24e-01 | test_loss: 1.24e-01 | reg: 3.20e+02 | :  20%|▏| 20/100 [16:16<1:01:54, 46.4
| train_loss: 1.24e-01 | test_loss: 1.24e-01 | reg: 3.20e+02 | :  21%|▏| 21/100 [16:16<1:01:11, 46.4
| train_loss: 1.23e-01 | test_loss: 1.23e-01 | reg: 3.16e+02 | :  21%|▏| 21/100 [17:03<1:01:11, 46.4
| train_loss: 1.23e-01 | test_loss: 1.23e-01 | reg: 3.16e+02 | :  22%|▏| 22/100 [17:03<1:00:33, 46.5
| train_loss: 1.22e-01 | test_loss: 1.22e-01 | reg: 3.15e+02 | :  22%|▏| 22/100 [17:52<1:00:33, 46.5
| train_loss: 1.22e-01 | test_loss: 1.22e-01 | reg: 3.15e+02 | :  23%|▏| 23/100 [17:52<1:00:49, 47.4
| train_loss: 1.21e-01 | test_loss: 1.21e-01 | reg: 3.15e+02 | :  23%|▏| 23/100 [18:39<1:00:49, 47.4
| train_loss: 1.21e-01 | test_loss: 1.21e-01 | reg: 3.15e+02 | :  24%|▏| 24/100 [18:39<59:45, 47.18s
| train_loss: 1.20e-01 | test_loss: 1.21e-01 | reg: 3.15e+02 | :  24%|▏| 24/100 [19:25<59:45, 47.18s
| train_loss: 1.20e-01 | test_loss: 1.21e-01 | reg: 3.15e+02 | :  25%|▎| 25/100 [19:25<58:35, 46.87s
| train_loss: 1.19e-01 | test_loss: 1.20e-01 | reg: 3.15e+02 | :  25%|▎| 25/100 [20:11<58:35, 46.87s
| train_loss: 1.19e-01 | test_loss: 1.20e-01 | reg: 3.15e+02 | :  26%|▎| 26/100 [20:11<57:17, 46.45s
| train_loss: 1.18e-01 | test_loss: 1.20e-01 | reg: 3.14e+02 | :  26%|▎| 26/100 [20:57<57:17, 46.45s
| train_loss: 1.18e-01 | test_loss: 1.20e-01 | reg: 3.14e+02 | :  27%|▎| 27/100 [20:57<56:23, 46.35s
| train_loss: 1.18e-01 | test_loss: 1.19e-01 | reg: 3.15e+02 | :  27%|▎| 27/100 [21:43<56:23, 46.35s
| train_loss: 1.18e-01 | test_loss: 1.19e-01 | reg: 3.15e+02 | :  28%|▎| 28/100 [21:43<55:45, 46.46s
| train_loss: 1.17e-01 | test_loss: 1.19e-01 | reg: 3.13e+02 | :  28%|▎| 28/100 [22:31<55:45, 46.46s
| train_loss: 1.17e-01 | test_loss: 1.19e-01 | reg: 3.13e+02 | :  29%|▎| 29/100 [22:31<55:20, 46.76s
| train_loss: 1.16e-01 | test_loss: 1.18e-01 | reg: 3.12e+02 | :  29%|▎| 29/100 [23:20<55:20, 46.76s
| train_loss: 1.16e-01 | test_loss: 1.18e-01 | reg: 3.12e+02 | :  30%|▎| 30/100 [23:20<55:22, 47.46s
| train_loss: 1.16e-01 | test_loss: 1.18e-01 | reg: 3.12e+02 | :  30%|▎| 30/100 [24:06<55:22, 47.46s
| train_loss: 1.16e-01 | test_loss: 1.18e-01 | reg: 3.12e+02 | :  31%|▎| 31/100 [24:06<53:59, 46.95s
| train_loss: 1.16e-01 | test_loss: 1.18e-01 | reg: 3.12e+02 | :  31%|▎| 31/100 [24:51<53:59, 46.95s
| train_loss: 1.16e-01 | test_loss: 1.18e-01 | reg: 3.12e+02 | :  32%|▎| 32/100 [24:51<52:46, 46.56s
| train_loss: 1.15e-01 | test_loss: 1.17e-01 | reg: 3.12e+02 | :  32%|▎| 32/100 [25:40<52:46, 46.56s
| train_loss: 1.15e-01 | test_loss: 1.17e-01 | reg: 3.12e+02 | :  33%|▎| 33/100 [25:40<52:31, 47.03s
| train_loss: 1.15e-01 | test_loss: 1.17e-01 | reg: 3.11e+02 | :  33%|▎| 33/100 [26:25<52:31, 47.03s
| train_loss: 1.15e-01 | test_loss: 1.17e-01 | reg: 3.11e+02 | :  34%|▎| 34/100 [26:25<51:20, 46.68s
| train_loss: 1.14e-01 | test_loss: 1.17e-01 | reg: 3.09e+02 | :  34%|▎| 34/100 [27:12<51:20, 46.68s
| train_loss: 1.14e-01 | test_loss: 1.17e-01 | reg: 3.09e+02 | :  35%|▎| 35/100 [27:12<50:36, 46.72s
| train_loss: 1.14e-01 | test_loss: 1.17e-01 | reg: 3.11e+02 | :  35%|▎| 35/100 [28:04<50:36, 46.72s
| train_loss: 1.14e-01 | test_loss: 1.17e-01 | reg: 3.11e+02 | :  36%|▎| 36/100 [28:04<51:31, 48.31s
| train_loss: 1.14e-01 | test_loss: 1.16e-01 | reg: 3.08e+02 | :  36%|▎| 36/100 [28:51<51:31, 48.31s
| train_loss: 1.14e-01 | test_loss: 1.16e-01 | reg: 3.08e+02 | :  37%|▎| 37/100 [28:51<50:16, 47.88s
| train_loss: 1.14e-01 | test_loss: 1.16e-01 | reg: 3.06e+02 | :  37%|▎| 37/100 [29:39<50:16, 47.88s
| train_loss: 1.14e-01 | test_loss: 1.16e-01 | reg: 3.06e+02 | :  38%|▍| 38/100 [29:39<49:26, 47.85s
| train_loss: 1.13e-01 | test_loss: 1.16e-01 | reg: 3.06e+02 | :  38%|▍| 38/100 [30:26<49:26, 47.85s
