Starting at Tue Feb  4 12:03:58 PM CET 2025
Running on hosts: cg11
Running on 1 nodes.
Running on 48 processors.
SLURM JobID 1082756 processors.
Node has 48 processors.
Node has  total memory.
Node has 10600 memory per cpu.
Current working directory is /lunarc/nobackup/projects/lu2024-17-38/fu6315ma/training/mnist
Current path is /lunarc/nobackup/projects/lu2024-17-38/fu6315ma/.venv/bin:/sw/pkg/gfxlauncher:/home/fu6315ma/.vscode-server/cli/servers/Stable-cd4ee3b1c348a13bafd8f9ad8060705f6d4b9cba/server/bin/remote-cli:/sw/pkg/gfxlauncher:/home/fu6315ma/.local/bin:/home/fu6315ma/bin:/sw/pkg/gfxlauncher:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:.:/sw/pkg/lunarc/bin:/sw/pkg/slurm/local/bin:/opt/thinlinc/bin:/opt/thinlinc/sbin:.:/sw/pkg/lunarc/bin:/sw/pkg/slurm/local/bin:.:/sw/pkg/lunarc/bin:/sw/pkg/slurm/local/bin
2025-02-04 12:03:58: Training started (directory: /lunarc/nobackup/projects/lu2024-17-38/fu6315ma/training/mnist)\n
cuda
Train:  torch.Size([60000, 784]) torch.Size([60000, 10])
Test:  torch.Size([10000, 784]) torch.Size([10000, 10])
[I 2025-02-04 12:04:03,760] A new study created in memory with name: no-name-c0479e23-5bb3-4e44-90e5-c5ae9d346cf9
checkpoint directory created: ./model
saving model version 0.0
Trial 0: {'depth': 2, 'width_0': 20, 'width_1': 20, 'optimizer': 'Adam', 'lr': 0.006291481596185759, 'lambda': 2.5251176579483726e-06, 'loss_fn': 'CrossEntropy'}

description:   0%|                                                         | 0/3000 [00:00<?, ?it/s]
| train_loss: 1.52e+00 | test_loss: 1.50e+00 | reg: 2.39e+02 | :   0%|     | 0/3000 [00:05<?, ?it/s]
| train_loss: 1.52e+00 | test_loss: 1.50e+00 | reg: 2.39e+02 | :   0%| | 1/3000 [00:05<4:31:39,  5.4
| train_loss: 1.50e+00 | test_loss: 1.49e+00 | reg: 2.62e+02 | :   0%| | 1/3000 [00:07<4:31:39,  5.4
| train_loss: 1.50e+00 | test_loss: 1.49e+00 | reg: 2.62e+02 | :   0%| | 2/3000 [00:07<2:57:13,  3.5
| train_loss: 1.49e+00 | test_loss: 1.47e+00 | reg: 2.92e+02 | :   0%| | 2/3000 [00:09<2:57:13,  3.5
| train_loss: 1.49e+00 | test_loss: 1.47e+00 | reg: 2.92e+02 | :   0%| | 3/3000 [00:09<2:11:51,  2.6
| train_loss: 1.47e+00 | test_loss: 1.44e+00 | reg: 3.23e+02 | :   0%| | 3/3000 [00:11<2:11:51,  2.6
| train_loss: 1.47e+00 | test_loss: 1.44e+00 | reg: 3.23e+02 | :   0%| | 4/3000 [00:11<2:01:01,  2.4
| train_loss: 1.44e+00 | test_loss: 1.40e+00 | reg: 3.62e+02 | :   0%| | 4/3000 [00:12<2:01:01,  2.4
| train_loss: 1.44e+00 | test_loss: 1.40e+00 | reg: 3.62e+02 | :   0%| | 5/3000 [00:12<1:47:32,  2.1
| train_loss: 1.40e+00 | test_loss: 1.36e+00 | reg: 4.06e+02 | :   0%| | 5/3000 [00:16<1:47:32,  2.1
| train_loss: 1.40e+00 | test_loss: 1.36e+00 | reg: 4.06e+02 | :   0%| | 6/3000 [00:16<2:14:19,  2.6
| train_loss: 1.36e+00 | test_loss: 1.31e+00 | reg: 4.59e+02 | :   0%| | 6/3000 [00:18<2:14:19,  2.6
| train_loss: 1.36e+00 | test_loss: 1.31e+00 | reg: 4.59e+02 | :   0%| | 7/3000 [00:18<1:58:37,  2.3
| train_loss: 1.31e+00 | test_loss: 1.26e+00 | reg: 5.19e+02 | :   0%| | 7/3000 [00:20<1:58:37,  2.3
| train_loss: 1.31e+00 | test_loss: 1.26e+00 | reg: 5.19e+02 | :   0%| | 8/3000 [00:20<1:53:08,  2.2
| train_loss: 1.26e+00 | test_loss: 1.21e+00 | reg: 5.82e+02 | :   0%| | 8/3000 [00:22<1:53:08,  2.2
| train_loss: 1.26e+00 | test_loss: 1.21e+00 | reg: 5.82e+02 | :   0%| | 9/3000 [00:22<1:43:04,  2.0
| train_loss: 1.22e+00 | test_loss: 1.16e+00 | reg: 6.32e+02 | :   0%| | 9/3000 [00:24<1:43:04,  2.0
| train_loss: 1.22e+00 | test_loss: 1.16e+00 | reg: 6.32e+02 | :   0%| | 10/3000 [00:24<1:44:19,  2.
| train_loss: 1.17e+00 | test_loss: 1.12e+00 | reg: 6.77e+02 | :   0%| | 10/3000 [00:28<1:44:19,  2.
| train_loss: 1.17e+00 | test_loss: 1.12e+00 | reg: 6.77e+02 | :   0%| | 11/3000 [00:28<2:09:35,  2.
| train_loss: 1.12e+00 | test_loss: 1.08e+00 | reg: 7.25e+02 | :   0%| | 11/3000 [00:29<2:09:35,  2.
| train_loss: 1.12e+00 | test_loss: 1.08e+00 | reg: 7.25e+02 | :   0%| | 12/3000 [00:29<1:53:37,  2.
| train_loss: 1.08e+00 | test_loss: 1.05e+00 | reg: 7.68e+02 | :   0%| | 12/3000 [00:31<1:53:37,  2.
| train_loss: 1.08e+00 | test_loss: 1.05e+00 | reg: 7.68e+02 | :   0%| | 13/3000 [00:31<1:51:29,  2.
| train_loss: 1.05e+00 | test_loss: 1.00e+00 | reg: 8.02e+02 | :   0%| | 13/3000 [00:33<1:51:29,  2.
| train_loss: 1.05e+00 | test_loss: 1.00e+00 | reg: 8.02e+02 | :   0%| | 14/3000 [00:33<1:42:11,  2.
| train_loss: 1.00e+00 | test_loss: 9.65e-01 | reg: 8.26e+02 | :   0%| | 14/3000 [00:35<1:42:11,  2.
| train_loss: 1.00e+00 | test_loss: 9.65e-01 | reg: 8.26e+02 | :   0%| | 15/3000 [00:35<1:42:46,  2.
| train_loss: 9.65e-01 | test_loss: 9.54e-01 | reg: 8.42e+02 | :   0%| | 15/3000 [00:39<1:42:46,  2.
| train_loss: 9.65e-01 | test_loss: 9.54e-01 | reg: 8.42e+02 | :   1%| | 16/3000 [00:39<2:06:57,  2.
| train_loss: 9.53e-01 | test_loss: 9.55e-01 | reg: 8.60e+02 | :   1%| | 16/3000 [00:40<2:06:57,  2.
| train_loss: 9.53e-01 | test_loss: 9.55e-01 | reg: 8.60e+02 | :   1%| | 17/3000 [00:40<1:54:47,  2.
| train_loss: 9.56e-01 | test_loss: 9.33e-01 | reg: 8.86e+02 | :   1%| | 17/3000 [00:42<1:54:47,  2.
| train_loss: 9.56e-01 | test_loss: 9.33e-01 | reg: 8.86e+02 | :   1%| | 18/3000 [00:42<1:48:10,  2.
| train_loss: 9.35e-01 | test_loss: 9.04e-01 | reg: 8.97e+02 | :   1%| | 18/3000 [00:44<1:48:10,  2.
| train_loss: 9.35e-01 | test_loss: 9.04e-01 | reg: 8.97e+02 | :   1%| | 19/3000 [00:44<1:43:55,  2.
| train_loss: 9.02e-01 | test_loss: 8.76e-01 | reg: 9.04e+02 | :   1%| | 19/3000 [00:46<1:43:55,  2.
| train_loss: 9.02e-01 | test_loss: 8.76e-01 | reg: 9.04e+02 | :   1%| | 20/3000 [00:46<1:39:39,  2.
| train_loss: 8.74e-01 | test_loss: 8.46e-01 | reg: 9.11e+02 | :   1%| | 20/3000 [00:50<1:39:39,  2.
| train_loss: 8.74e-01 | test_loss: 8.46e-01 | reg: 9.11e+02 | :   1%| | 21/3000 [00:50<2:05:04,  2.
| train_loss: 8.49e-01 | test_loss: 8.22e-01 | reg: 9.16e+02 | :   1%| | 21/3000 [00:52<2:05:04,  2.
| train_loss: 8.49e-01 | test_loss: 8.22e-01 | reg: 9.16e+02 | :   1%| | 22/3000 [00:52<1:57:09,  2.
| train_loss: 8.26e-01 | test_loss: 8.03e-01 | reg: 9.25e+02 | :   1%| | 22/3000 [00:53<1:57:09,  2.
| train_loss: 8.26e-01 | test_loss: 8.03e-01 | reg: 9.25e+02 | :   1%| | 23/3000 [00:53<1:48:01,  2.
| train_loss: 8.07e-01 | test_loss: 7.87e-01 | reg: 9.35e+02 | :   1%| | 23/3000 [00:55<1:48:01,  2.
| train_loss: 8.07e-01 | test_loss: 7.87e-01 | reg: 9.35e+02 | :   1%| | 24/3000 [00:55<1:43:58,  2.
| train_loss: 7.90e-01 | test_loss: 7.69e-01 | reg: 9.47e+02 | :   1%| | 24/3000 [00:57<1:43:58,  2.
| train_loss: 7.90e-01 | test_loss: 7.69e-01 | reg: 9.47e+02 | :   1%| | 25/3000 [00:57<1:39:35,  2.
