Starting at Wed Feb  5 10:41:47 AM CET 2025
Running on hosts: cg03
Running on 1 nodes.
Running on 48 processors.
SLURM JobID 1083421 processors.
Node has 48 processors.
Node has  total memory.
Node has 5300 memory per cpu.
Current working directory is /lunarc/nobackup/projects/lu2024-17-38/fu6315ma/training/mnist
Current path is /lunarc/nobackup/projects/lu2024-17-38/fu6315ma/.venv/bin:/sw/pkg/gfxlauncher:/home/fu6315ma/.vscode-server/cli/servers/Stable-cd4ee3b1c348a13bafd8f9ad8060705f6d4b9cba/server/bin/remote-cli:/sw/pkg/gfxlauncher:/home/fu6315ma/.local/bin:/home/fu6315ma/bin:/sw/pkg/gfxlauncher:/usr/local/bin:/usr/bin:/usr/local/sbin:/usr/sbin:~/bin:.:/sw/pkg/lunarc/bin:/sw/pkg/slurm/local/bin:/opt/thinlinc/bin:/opt/thinlinc/sbin:~/bin:.:/sw/pkg/lunarc/bin:/sw/pkg/slurm/local/bin:~/bin:.:/sw/pkg/lunarc/bin:/sw/pkg/slurm/local/bin
2025-02-05 10:41:47: Training started (directory: /lunarc/nobackup/projects/lu2024-17-38/fu6315ma/training/mnist)\n
cuda
checkpoint directory created: ./model
saving model version 0.0
KAN model has 79968 number of parameters
Train:  torch.Size([60000, 784]) torch.Size([60000, 10])
Test:  torch.Size([10000, 784]) torch.Size([10000, 10])

description:   0%|                                                         | 0/5000 [00:00<?, ?it/s]
| train_loss: 1.52e+00 | test_loss: 1.52e+00 | reg: 1.17e+01 | :   0%|     | 0/5000 [00:02<?, ?it/s]
| train_loss: 1.52e+00 | test_loss: 1.52e+00 | reg: 1.17e+01 | :   0%| | 1/5000 [00:02<3:25:04,  2.4
| train_loss: 1.52e+00 | test_loss: 1.52e+00 | reg: 1.17e+01 | :   0%| | 1/5000 [00:03<3:25:04,  2.4
| train_loss: 1.52e+00 | test_loss: 1.52e+00 | reg: 1.17e+01 | :   0%| | 2/5000 [00:03<2:08:21,  1.5
| train_loss: 1.52e+00 | test_loss: 1.51e+00 | reg: 1.17e+01 | :   0%| | 2/5000 [00:04<2:08:21,  1.5
| train_loss: 1.52e+00 | test_loss: 1.51e+00 | reg: 1.17e+01 | :   0%| | 3/5000 [00:04<1:43:39,  1.2
| train_loss: 1.51e+00 | test_loss: 1.51e+00 | reg: 1.18e+01 | :   0%| | 3/5000 [00:05<1:43:39,  1.2
| train_loss: 1.51e+00 | test_loss: 1.51e+00 | reg: 1.18e+01 | :   0%| | 4/5000 [00:05<1:32:00,  1.1
| train_loss: 1.51e+00 | test_loss: 1.51e+00 | reg: 1.18e+01 | :   0%| | 4/5000 [00:06<1:32:00,  1.1
| train_loss: 1.51e+00 | test_loss: 1.51e+00 | reg: 1.18e+01 | :   0%| | 5/5000 [00:06<1:25:36,  1.0
| train_loss: 1.51e+00 | test_loss: 1.51e+00 | reg: 1.19e+01 | :   0%| | 5/5000 [00:06<1:25:36,  1.0
| train_loss: 1.51e+00 | test_loss: 1.51e+00 | reg: 1.19e+01 | :   0%| | 6/5000 [00:06<1:21:43,  1.0
| train_loss: 1.51e+00 | test_loss: 1.51e+00 | reg: 1.19e+01 | :   0%| | 6/5000 [00:07<1:21:43,  1.0
| train_loss: 1.51e+00 | test_loss: 1.51e+00 | reg: 1.19e+01 | :   0%| | 7/5000 [00:07<1:19:19,  1.0
| train_loss: 1.51e+00 | test_loss: 1.51e+00 | reg: 1.20e+01 | :   0%| | 7/5000 [00:08<1:19:19,  1.0
| train_loss: 1.51e+00 | test_loss: 1.51e+00 | reg: 1.20e+01 | :   0%| | 8/5000 [00:08<1:17:37,  1.0
| train_loss: 1.51e+00 | test_loss: 1.51e+00 | reg: 1.21e+01 | :   0%| | 8/5000 [00:09<1:17:37,  1.0
| train_loss: 1.51e+00 | test_loss: 1.51e+00 | reg: 1.21e+01 | :   0%| | 9/5000 [00:09<1:16:31,  1.0
| train_loss: 1.51e+00 | test_loss: 1.51e+00 | reg: 1.23e+01 | :   0%| | 9/5000 [00:10<1:16:31,  1.0
| train_loss: 1.51e+00 | test_loss: 1.51e+00 | reg: 1.23e+01 | :   0%| | 10/5000 [00:10<1:15:42,  1.
| train_loss: 1.51e+00 | test_loss: 1.51e+00 | reg: 1.24e+01 | :   0%| | 10/5000 [00:11<1:15:42,  1.
| train_loss: 1.51e+00 | test_loss: 1.51e+00 | reg: 1.24e+01 | :   0%| | 11/5000 [00:11<1:15:14,  1.
| train_loss: 1.51e+00 | test_loss: 1.51e+00 | reg: 1.25e+01 | :   0%| | 11/5000 [00:12<1:15:14,  1.
| train_loss: 1.51e+00 | test_loss: 1.51e+00 | reg: 1.25e+01 | :   0%| | 12/5000 [00:12<1:14:54,  1.
| train_loss: 1.51e+00 | test_loss: 1.51e+00 | reg: 1.27e+01 | :   0%| | 12/5000 [00:13<1:14:54,  1.
| train_loss: 1.51e+00 | test_loss: 1.51e+00 | reg: 1.27e+01 | :   0%| | 13/5000 [00:13<1:14:35,  1.
| train_loss: 1.51e+00 | test_loss: 1.50e+00 | reg: 1.29e+01 | :   0%| | 13/5000 [00:14<1:14:35,  1.
| train_loss: 1.51e+00 | test_loss: 1.50e+00 | reg: 1.29e+01 | :   0%| | 14/5000 [00:14<1:14:25,  1.
| train_loss: 1.50e+00 | test_loss: 1.50e+00 | reg: 1.30e+01 | :   0%| | 14/5000 [00:14<1:14:25,  1.
| train_loss: 1.50e+00 | test_loss: 1.50e+00 | reg: 1.30e+01 | :   0%| | 15/5000 [00:14<1:14:18,  1.
| train_loss: 1.50e+00 | test_loss: 1.50e+00 | reg: 1.32e+01 | :   0%| | 15/5000 [00:15<1:14:18,  1.
| train_loss: 1.50e+00 | test_loss: 1.50e+00 | reg: 1.32e+01 | :   0%| | 16/5000 [00:15<1:14:14,  1.
| train_loss: 1.50e+00 | test_loss: 1.50e+00 | reg: 1.35e+01 | :   0%| | 16/5000 [00:16<1:14:14,  1.
| train_loss: 1.50e+00 | test_loss: 1.50e+00 | reg: 1.35e+01 | :   0%| | 17/5000 [00:16<1:14:17,  1.
| train_loss: 1.50e+00 | test_loss: 1.50e+00 | reg: 1.37e+01 | :   0%| | 17/5000 [00:17<1:14:17,  1.
| train_loss: 1.50e+00 | test_loss: 1.50e+00 | reg: 1.37e+01 | :   0%| | 18/5000 [00:17<1:14:09,  1.
| train_loss: 1.50e+00 | test_loss: 1.50e+00 | reg: 1.39e+01 | :   0%| | 18/5000 [00:18<1:14:09,  1.
| train_loss: 1.50e+00 | test_loss: 1.50e+00 | reg: 1.39e+01 | :   0%| | 19/5000 [00:18<1:14:08,  1.
| train_loss: 1.50e+00 | test_loss: 1.50e+00 | reg: 1.42e+01 | :   0%| | 19/5000 [00:19<1:14:08,  1.
| train_loss: 1.50e+00 | test_loss: 1.50e+00 | reg: 1.42e+01 | :   0%| | 20/5000 [00:19<1:14:00,  1.
| train_loss: 1.50e+00 | test_loss: 1.50e+00 | reg: 1.45e+01 | :   0%| | 20/5000 [00:20<1:14:00,  1.
| train_loss: 1.50e+00 | test_loss: 1.50e+00 | reg: 1.45e+01 | :   0%| | 21/5000 [00:20<1:14:04,  1.
| train_loss: 1.50e+00 | test_loss: 1.50e+00 | reg: 1.47e+01 | :   0%| | 21/5000 [00:21<1:14:04,  1.
| train_loss: 1.50e+00 | test_loss: 1.50e+00 | reg: 1.47e+01 | :   0%| | 22/5000 [00:21<1:14:02,  1.
| train_loss: 1.50e+00 | test_loss: 1.50e+00 | reg: 1.50e+01 | :   0%| | 22/5000 [00:22<1:14:02,  1.
| train_loss: 1.50e+00 | test_loss: 1.50e+00 | reg: 1.50e+01 | :   0%| | 23/5000 [00:22<1:14:04,  1.
