width,num_params,optimizer,steps,grid,k,lr,lambda,lambda_l1,lambda_entropy,train_loss,test_loss,train_acc,test_acc,loss_plot_path,acc_plot_path,params_path,loss_fn
"[[784, 0], [20, 0], [20, 0], [10, 0]]",156408,LBFGS,100,5,3,0.005,1.8e-05,1,1,0.060870726,0.08326041,0.987333357334137,0.9643999934196472,plots/kan_loss_2025-02-03_10-38-58.png,plots/kan_acc_2025-02-03_10-39-17.png,weights/kan_2025-02-03_10-39-29_state,
"[[784, 0], [24, 0], [24, 0], [24, 0], [10, 0]]",192144,LBFGS,100,5,3,0.01150436638392288,4.2112548672992266e-05,2,1,0.0511366,0.46818605,0.9999666810035706,0.9634999632835388,plots/kan_loss_2025-02-04_10-25-32.png,plots/kan_acc_2025-02-04_10-25-32.png,weights/kan_2025-02-04_10-25-32_state,
"[[784, 0], [32, 0], [28, 0], [4, 0], [10, 0]]",245400,LBFGS,100,5,3,0.020443874686340548,1.7104264022516873e-05,2,1,0.105568394,0.5093686,0.9982333183288574,0.9607999920845032,plots/kan_loss_2025-02-04_11-03-55.png,plots/kan_acc_2025-02-04_11-03-55.png,weights/kan_2025-02-04_11-03-55_state,
"[[784, 0], [32, 0], [10, 0]]",213056,Adam,500,5,3,0.3,0,1,1,0.2573414,0.37373972,0.984416663646698,0.9580999612808228,plots/kan_loss_2025-02-06_23-23-48.png,plots/kan_acc_2025-02-06_23-23-52.png,weights/kan_2025-02-06_23-23-56_state,CrossEntropy
"[[784, 0], [64, 0], [32, 0], [10, 0]]",430912,Adam,500,5,3,0.005,1e-05,1,1,0.21221358,0.38636917,0.9925000071525574,0.9578999876976013,plots/kan_loss_2025-02-07_11-32-21.png,plots/kan_acc_2025-02-07_11-32-25.png,weights/kan_2025-02-07_11-32-29_state,CrossEntropy
"[[784, 0], [20, 0], [12, 0], [10, 0]]",154152,LBFGS,100,5,3,4.188815761426259,2.029343797757778e-06,2,1,0.033260547,0.094508685,0.9958833456039429,0.9562999606132507,plots/kan_loss_2025-02-04_13-33-49.png,plots/kan_acc_2025-02-04_13-33-49.png,weights/kan_2025-02-04_13-33-49_state,
"[[784, 0], [20, 0], [10, 0]]",152568,LBFGS,100,5,3,0.0032015764455115437,6.290853138301407e-06,2,1,0.09649077,0.10634384,0.9643999934196472,0.9512999653816223,plots/kan_loss_2025-02-04_06-03-36.png,plots/kan_acc_2025-02-04_06-03-37.png,weights/kan_2025-02-04_06-03-37_state,
"[[784, 0], [16, 0], [10, 0]]",111232,Adam,500,5,3,0.2,0,1,1,0.25775605,0.4303024,0.9824833273887634,0.9483000040054321,plots/kan_loss_2025-02-06_23-04-23.png,plots/kan_acc_2025-02-06_23-04-26.png,weights/kan_2025-02-06_23-04-27_state,CrossEntropy
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.1,1e-06,1,1,0.3662974,0.43786943,0.9624333381652832,0.9435999989509583,plots/kan_loss_2025-02-06_16-25-13.png,plots/kan_acc_2025-02-06_16-25-19.png,weights/kan_2025-02-06_16-25-20_state,CrossEntropy
"[[784, 0], [10, 0], [10, 0]]",73048,Adam,500,5,3,0.47859251802965946,2.9155586171360405e-07,4,3,0.32901934,0.45120844,0.9700166583061218,0.9434999823570251,plots/kan_loss_2025-02-06_17-58-46.png,plots/kan_acc_2025-02-06_17-58-46.png,weights/kan_2025-02-06_17-58-46_state,CrossEntropy
