width,num_params,optimizer,steps,lr,lambda,lambda_l1,lambda_entropy,train_loss,test_loss,train_acc,test_acc,loss_plot_path,acc_plot_path,params_path,loss_fn,act_fn
"[784, 20, 20, 10]",16330,LBFGS,50,1000,1e-05,1,1,0.098161,0.09903179,0.9582799673080444,0.9575999975204468,,,,,
"[784, 20, 20, 10]",16330,LBFGS,50,0.005,1e-05,1,1,0.102053046,0.102573656,0.9528799653053284,0.9508999586105347,,,,,
"[784, 20, 20, 10]",16330,Adam,100,0.005,1.8e-05,1,1,0.14575568,0.14251,0.9132199883460999,0.918999969959259,plots/mlp_loss_2025-01-29_16-26-10.png,plots/mlp_acc_2025-01-29_16-26-18.png,weights/mlp_2025-01-29_16-26-19_state,,
"[784, 20, 20, 10]",16330,Adam,500,0.005,1.8e-05,2,1,0.12656787,0.12496124,0.9271799921989441,0.927899956703186,plots/mlp_loss_2025-01-29_16-32-02.png,plots/mlp_acc_2025-01-29_16-33-07.png,weights/mlp_2025-01-29_16-33-09_state,,
"[784, 20, 20, 10]",16330,LBFGS,100,1,1e-05,2,1,0.10408121,0.103689976,0.9546799659729004,0.9538999795913696,plots/mlp_loss_2025-01-29_16-36-21.png,plots/mlp_acc_2025-01-29_16-36-27.png,weights/mlp_2025-01-29_16-36-40_state,,
"[784, 20, 20, 10]",16330,LBFGS,100,1,1e-05,2,1,0.1047474,0.1043214,0.954479992389679,0.9532999992370605,plots/mlp_loss_2025-01-29_16-37-08.png,plots/mlp_acc_2025-01-29_16-37-11.png,weights/mlp_2025-01-29_16-37-14_state,,
"[784, 20, 20, 10]",16330,LBFGS,100,1,1e-05,1,1,0.088497445,0.09128337,0.966219961643219,0.9612999558448792,plots/mlp_loss_2025-01-29_16-39-29.png,plots/mlp_acc_2025-01-29_16-39-36.png,weights/mlp_2025-01-29_16-40-05_state,,
"[784, 20, 20, 10]",16330,LBFGS,500,1,1e-05,1,1,0.086956315,0.09004603,0.9671199917793274,0.9623000025749207,plots/mlp_loss_2025-01-29_16-41-14.png,plots/mlp_acc_2025-01-29_16-41-18.png,weights/mlp_2025-01-29_16-41-42_state,,
"[784, 20, 20, 20, 10]",16750,LBFGS,500,1,1e-05,1,1,0.064478554,0.078901514,0.980679988861084,0.963699996471405,plots/mlp_loss_2025-01-29_16-42-48.png,plots/mlp_acc_2025-01-29_16-42-52.png,weights/mlp_2025-01-29_16-42-57_state,,
"[784, 20, 20, 20, 10]",16750,LBFGS,500,10,1e-05,2,1,0.08155154,0.08516988,0.9666399955749512,0.9609999656677246,plots/mlp_loss_2025-01-29_16-44-34.png,plots/mlp_acc_2025-01-29_16-44-40.png,weights/mlp_2025-01-29_16-44-41_state,,
"[784, 20, 20, 20, 10]",16750,LBFGS,500,1,1.8e-05,1,2,0.08085366,0.08507687,0.9684799909591675,0.961899995803833,plots/mlp_loss_2025-01-29_16-45-47.png,plots/mlp_acc_2025-01-29_16-45-50.png,weights/mlp_2025-01-29_16-45-51_state,,
"[784, 20, 20, 20, 10]",16750,LBFGS,500,1,0,1,2,0.030396437,0.09486327,0.9945199489593506,0.9502999782562256,plots/mlp_loss_2025-01-29_16-47-01.png,plots/mlp_acc_2025-01-29_16-47-05.png,weights/mlp_2025-01-29_16-47-06_state,,
